number,character,quote
839,hp,"She didn’t mention any man—forgive me, Mr. Fraser—she might be meeting?"
840,sh,I believe that you are the devil himself!
841,hp,"Well, you see, Cousin Marie—that’s Miss Van Schuyler—never gets up very early. She has to be very, very careful of her health. And of course she wanted Miss Bowers, that’s her hospital nurse, to do things for her. And she said, too, that this isn’t one of the best temples—but she was frightfully kind and said it would be quite all right for me to come."
842,hp,"And then I got that wound on the head. Very slight. But they found out I had fits…I’d always known, of course, that there were times when I hadn’t been quite sure what I was doing. Lapses, you know. And of course, once or twice I’d fallen down. But I don’t really think they ought to have discharged me for that. No, I don’t think it was right."
843,mm,What in my day they used to call ‘having the come hither in your eye.’
844,sh,What the devil is the meaning of all this?
845,sh,"Dear me, this is very disappointing! I fear, Watson, that all our
     expectations come to nothing. I trust that the man Porlock will come
     to no harm."
846,mm,because he would have said that I ought to have given it to the Eccleses. But I thought I’d rather bring it to you instead.
847,hp,She said she wanted to think it over—eh? That is what signed her death warrant. If she had only spoken out—then—at once.
848,mm,"It reminds me of the time the man went round pretending to be the Gas Inspector,"
849,sh,"Quite so. It doesn't prove it wasn't used. But there might have been
     stains, and that would have helped us. As a matter of fact there were
     none. Then I examined the gun. They were buckshot cartridges, and, as
     Sergeant Wilson pointed out, the triggers were wired together so
     that, if you pulled on the hinder one, both barrels were discharged.
     Whoever fixed that up had made up his mind that he was going to take
     no chances of missing his man. The sawed gun was not more than two
     foot long--one could carry it easily under one's coat. There was no
     complete maker's name; but the printed letters P-E-N were on the
     fluting between the barrels, and the rest of the name had been cut
     off by the saw."
850,sh,"I have given you the chance. Here
     are your lodgings. Good-bye. I shall drop you a line before I leave."
851,sh,"If you know anything, you can surely say it
     without all this tomfoolery."
852,sh,"No fence wants stuff of that sort that you can neither melt
     nor sell."
853,hp,But—but it is maddening! It is intolerable that I should have to put up with this!
854,sh,"None as yet. But the affair is a pretty one, one of our little
     country crimes, which must seem too small for your attention, Mr.
     Holmes, after this great international affair."
855,hp,"Thought you wouldn’t agree. This character stuff is M. Poirot’s specialty, I believe."
856,mm,"That is really not a very good simile, dear Raymond,"
857,hp,"It is a busy time for this young M. Raymond,"
858,mm,"Half the time I was ashamed of myself for thinking so. Who was I to go suspecting this nice, pleasant-mannered English lady of a foul and cold-blooded crime? I did my best to be as cordial as possible to her during the short time she stayed on the island. I helped her with the Spanish authorities. I did everything I could do as an Englishman to help a compatriot in a foreign country; and yet I am convinced that she knew I suspected and disliked her."
859,hp,"It’s all clear enough. It fits in without a flaw. At twenty-five
minutes past nine, Captain Paton is seen passing the lodge; at
nine-thirty or thereabouts, Mr. Geoffrey Raymond hears some one in here
asking for money and Mr. Ackroyd refusing. What happens next? Captain
Paton leaves the same way—through the window. He walks along the
terrace, angry and baffled. He comes to the open drawing-room window.
Say it’s now a quarter to ten. Miss Flora Ackroyd is saying good-night
to her uncle. Major Blunt, Mr. Raymond, and Mrs. Ackroyd are in the
billiard room. The drawing-room is empty. He steals in, takes the
dagger from the silver table, and returns to the study window. He slips
off his shoes, climbs in, and—well, I don’t need to go into details.
Then he slips out again and goes off. Hadn’t the nerve to go back to
the inn. He makes for the station, rings up from there——"
860,hp,"that proves at least that Cassetti—or Ratchett, as I shall continue to call him—was certainly alive at twenty minutes to one."
861,mm,"A girl I knew died of ptomaine poisoning,"
